actor,films,film_votes,votes_per_film,directors
Aleksandr Bystryakov,1,3,3.00,Aleksandr Sokurov
Alexandre Rodrigues,1,3,3.00,Fernando Meirelles
Alioune Fall,1,3,3.00,Ousmane Sembene
Allan Corduner,1,3,3.00,Mike Leigh
Amin Maher,1,3,3.00,Abbas Kiarostami
André Heller,1,3,3.00,Hans Jurgen Syberberg
Andrei Gradov,1,3,3.00,Aleksandr Sokurov
Andrew Garfield,1,3,3.00,David Fincher
Ann Reinking,1,3,3.00,Bob Fosse
Annu Mari,1,3,3.00,Suzuki Seijun
Anthony Mackie,1,3,3.00,Kathryn Bigelow
Anthony Watson,1,3,3.00,Terence Davies
April Kent,1,3,3.00,Jack Arnold
Arleen Whelan,1,3,3.00,John Ford
Art Garfunkel,1,3,3.00,Nicolas Roeg
Asa Butterfield,1,3,3.00,Martin Scorsese
Audrey Tautou,1,3,3.00,Jean-Pierre Jeunet
August Falk,1,3,3.00,Victor Sjöström
Bahareh Seddiqi,1,3,3.00,Majid Majidi
Barbara Bonney,1,3,3.00,Steven Spielberg
Barbara Rush,1,3,3.00,Nicholas Ray
Benoît Magimel,1,3,3.00,Michael Haneke
Bergliot Husberg,1,3,3.00,Victor Sjöström
Bernard Miles,1,3,3.00,David Lean
Betty Morrissey,1,3,3.00,Charles Chaplin
Birol Ünel,1,3,3.00,Fatih Akin
Bobby Stewart,1,3,3.00,David Hand
Bora Todorovic,1,3,3.00,Emir Kusturica
Breno Mello,1,3,3.00,Marcel Camus
Brian Geraghty,1,3,3.00,Kathryn Bigelow
Bruce Greenwood,1,3,3.00,Atom Egoyan
Brunella Bovo,1,3,3.00,Vittorio de Sica
Camilla Power,1,3,3.00,Jan Svankmajer
Carlheinz Hargesheimer,1,3,3.00,Jean-Marie Straub/Danièle Huillet
Carmelo Bene,1,3,3.00,Pier Paolo Pasolini
Catrin Striebeck,1,3,3.00,Fatih Akin
Charles Mcdevitt,1,3,3.00,Albert Maysles/David Maysles/Charlotte Zwerin
Charlotte Rampling,1,3,3.00,Woody Allen
Chocho Miyako,1,3,3.00,Imamura Shohei
Choi Min-sik,1,3,3.00,Park Chan-wook
Chris Cooper,1,3,3.00,John Sayles
Christine Fabréga,1,3,3.00,Maurice Pialat
Christopher Jones,1,3,3.00,David Lean
Claire Drouot,1,3,3.00,Agnès Varda
Clara Calamai,1,3,3.00,Luchino Visconti
Clive Brook,1,3,3.00,Josef von Sternberg
Colman King,1,3,3.00,Robert J. Flaherty
Cristina Hauser,1,3,3.00,Manoel de Oliveira
D. Samokhin,1,3,3.00,Aleksandr Sokurov
Daniel Hendler,1,3,3.00,Mariano Llinás
Daria Halprin,1,3,3.00,Michelangelo Antonioni
David Bennent,1,3,3.00,Volker Schlöndorff
David Proval,1,3,3.00,Martin Scorsese
Davor Dujmovic,1,3,3.00,Emir Kusturica
Deems Taylor,1,3,3.00,Joe Grant/Dick Huerner
Derek Jarman,1,3,3.00,Derek Jarman
Dhia Cristiani,1,3,3.00,Luchino Visconti
Don McKellar,1,3,3.00,Atom Egoyan
Donal McCann,1,3,3.00,John Huston
Donnie Dunagan,1,3,3.00,David Hand
Ed Begley,1,3,3.00,Sidney Lumet
Eduardo Coutinho,1,3,3.00,Eduardo Coutinho
Eduardo Moure,1,3,3.00,Humberto Solás
Edward Coxon,1,3,3.00,Buster Keaton/John G. Blystone
Eijirô Tono,1,3,3.00,Akira Kurosawa
Elizabeth Peña,1,3,3.00,John Sayles
Emma Gramatica,1,3,3.00,Vittorio de Sica
Emmanuel Schotté,1,3,3.00,Bruno Dumont
Felicidad Blanch,1,3,3.00,Jaime Chávarri
Fernand Ledoux,1,3,3.00,Jean Renoir
Ferreira Gullar,1,3,3.00,Eduardo Coutinho
Flavio Bucci,1,3,3.00,Dario Argento
Franca Pasut,1,3,3.00,Pier Paolo Pasolini
Francesca Moriggi,1,3,3.00,Ermano Olmi
Francesco Leonetti,1,3,3.00,Pier Paolo Pasolini
Ganemon Nakamura,1,3,3.00,Yamanaka Sadao
Gang Hye-jung,1,3,3.00,Park Chan-wook
Ganjirô Nakamura,1,3,3.00,Ozu Yasujirô
Georges Koudria,1,3,3.00,Jean Renoir
Georges Sellier,1,3,3.00,Albert Lamorisse
Gil Clary,1,3,3.00,Abel Gance
Ginger Michaels,1,3,3.00,Hollis Frampton
Grace Paley,1,3,3.00,Robert Kramer
Graham Chapman,1,3,3.00,Terry Jones
Grant Williams,1,3,3.00,Jack Arnold
Greer Garson,1,3,3.00,Mervyn LeRoy
Guy Frangin,1,3,3.00,Robert Bresson
Halil Ergün,1,3,3.00,Serif Gören/Yilmaz Güney
Hardie Albright,1,3,3.00,David Hand
Harry Stockwell,1,3,3.00,David Hand et al
Haya Harareet,1,3,3.00,William Wyler
Heinrich Hargesheimer,1,3,3.00,Jean-Marie Straub/Danièle Huillet
Heinz Schubert,1,3,3.00,Hans Jurgen Syberberg
Helena Carroll,1,3,3.00,John Huston
Hellmut Lange,1,3,3.00,Hans Jurgen Syberberg
Hiroyuki Nagato,1,3,3.00,Imamura Shohei
Hsin Shu-fen,1,3,3.00,Hsiao-hsien Hou
Hsu Chi,1,3,3.00,Hsiao-hsien Hou
Hubert Koundé,1,3,3.00,Mathieu Kassovitz
Humbert Balsan,1,3,3.00,Robert Bresson
Ines Pellegrini,1,3,3.00,Pier Paolo Pasolini
Irene Papas,1,3,3.00,Costa-Gavras
Ivan Desny,1,3,3.00,Rainer Werner Fassbinder
Ivan Dobronravov,1,3,3.00,Andrei Zvyagintsev
Jacqueline Laurent,1,3,3.00,Marcel Carné
Jacqueline Luis,1,3,3.00,Alejandro Jodorowsky
James Baker,1,3,3.00,Albert Maysles/David Maysles/Charlotte Zwerin
James Dean,1,3,3.00,Elia Kazan
James Russo,1,3,3.00,Gus van Sant
Jane Birkin,1,3,3.00,Jacques Rivette
Jane Lobre,1,3,3.00,Robert Bresson
Janet Landgard,1,3,3.00,Frank Perry
Jared Leto,1,3,3.00,Darren Aronofsky
Jean Dumas,1,3,3.00,Buster Keaton/John G. Blystone
Jean Hagen,1,3,3.00,John Huston
Jean-Claude Drouot,1,3,3.00,Agnès Varda
Jean-François Heckel,1,3,3.00,James Marsh
Jean-Louis Blondeau,1,3,3.00,James Marsh
Jean-Pierre Darroussin,1,3,3.00,Aki Kaurismaki
Jean-Pierre Zola,1,3,3.00,Jacques Tati
Jeremy Renner,1,3,3.00,Kathryn Bigelow
Jerry Torre,1,3,3.00,Maysles Brothers
Jesse Eisenberg,1,3,3.00,David Fincher
